neo,diameter,eccentricity,semiMajorAxis,perihelionDistance,inclination,period
N,2.828,0.108,3.152,2.811,27.88,2040
N,3.434,0.1591,3.108,2.614,27.14,2000
N,2.759,0.2437,2.536,1.918,6.65,1480
N,2.917,0.3544,3.123,2.016,23.26,2020
N,3.532,0.1959,3.171,2.55,25.01,2060
N,1.898,0.1311,3.03,2.633,9.18,1930
N,3.031,0.1769,3.12,2.569,24.68,2010
N,2.953,0.2206,3.035,2.365,10.19,1930
N,2.235,0.2535,2.975,2.221,15.93,1870
N,3.043,0.1324,3.016,2.617,8.22,1910
N,3.081,0.0798,3.076,2.83,9.06,1970
N,2.359,0.0574,2.816,2.654,5.1,1730
N,6.71,0.1683,3.97,3.302,9.13,2890
N,2.907,0.2571,3.043,2.26,4.81,1940
N,4.985,0.2003,3.18,2.543,25.14,2070
N,4.496,0.2073,3.111,2.466,9.63,2000
N,3.095,0.3575,3.14,2.017,27.56,2030
N,2.393,0.1378,3.121,2.691,8.67,2010
N,2.044,0.2629,3.159,2.329,15.05,2050
N,3.79,0.0368,3.091,2.977,7.61,1990
N,2.448,0.1823,3.081,2.519,27.81,1970
N,2.273,0.2915,3.095,2.193,8.76,1990
N,4.696,0.0558,3.131,2.957,11.2,2020
N,2.094,0.2385,2.396,1.825,9.92,1360
N,2.755,0.0844,2.453,2.245,15.78,1400
N,4.187,0.0897,3.051,2.777,11.08,1950
N,3.168,0.1643,2.882,2.408,16.19,1790
N,3.941,0.1957,3.131,2.518,16.25,2020
Y,0.486,0.7121,2.156,0.621,14.3,1160
N,4.56,0.0335,2.968,2.868,16.16,1870
N,3.697,0.1533,2.761,2.338,17.5,1680
N,5.162,0.2861,3.186,2.274,24.73,2080
N,2.481,0.1817,3.181,2.603,15.27,2070
N,2.27,0.2033,2.995,2.386,11.71,1890
N,2.702,0.1628,2.633,2.205,11.38,1560
N,6.39,0.0194,3.116,3.055,15.24,2010
N,2.337,0.2531,3.026,2.26,9.07,1920
N,2.38,0.0933,3.015,2.734,9.9,1910
N,2.295,0.2387,3.154,2.401,14.45,2050
N,4.793,0.1969,3.238,2.6,25.13,2130
N,3.089,0.1586,3.106,2.614,14.46,2000
N,5.347,0.026,3.142,3.061,22.13,2030
N,4.886,0.1568,3.174,2.676,27.3,2070
N,2.356,0.2237,3.061,2.376,15.65,1960
N,2.616,0.19,3.103,2.514,13.55,2000
N,2.806,0.0502,2.851,2.708,6.5,1760
N,4.538,0.0994,3.088,2.781,23.56,1980
N,4.142,0.0102,3.188,3.155,16.06,2080
N,3.549,0.1656,3.157,2.634,21.64,2050
N,3.939,0.1597,3.164,2.659,17.64,2060
N,3.581,0.1178,3.207,2.829,17.53,2100
N,2.498,0.098,3.055,2.756,8.08,1950
N,2.114,0.0931,3.144,2.851,27.95,2040
N,2.416,0.1885,2.903,2.356,17.64,1810
N,3.897,0.0422,3.184,3.05,16.92,2080
N,3.733,0.2143,2.991,2.35,9.72,1890
N,3.987,0.2167,3.078,2.411,25.34,1970
N,2.494,0.331,3.112,2.082,30.72,2010
N,1.553,0.23,2.388,1.839,13.64,1350
N,3.183,0.1958,3.173,2.552,25.36,2060
N,2.145,0.052,2.97,2.816,12.52,1870
N,3.541,0.2738,3.16,2.295,24.1,2050
N,1.693,0.2165,2.298,1.8,20.45,1270
N,9.613,0.0503,5.173,4.913,27.93,4300
Y,0.651,0.7507,2.638,0.658,31.02,1560
Y,1.198,0.5928,2.911,1.185,36.65,1810
N,0.935,0.455,2.692,1.467,13.17,1610
N,2.288,0.2083,3.018,2.389,9.68,1910
N,2.416,0.2526,3.173,2.372,14.3,2060
N,3.174,0.1872,3.172,2.578,28.77,2060
Y,1.349,0.8717,2.82,0.362,35.78,1730
N,4.641,0.0323,3.195,3.092,10.77,2090
N,2.569,0.5569,3.075,1.363,18.98,1970
N,2.209,0.2071,3.07,2.435,13.73,1970
N,2.952,0.3805,3.135,1.942,25.68,2030
N,2.239,0.2151,3.016,2.368,6.48,1910
N,4.211,0.1511,3.175,2.695,18.35,2070
N,3.444,0.2026,3.044,2.427,7.4,1940
N,5.109,0.1556,3.178,2.684,25.74,2070
N,4.253,0.053,3.15,2.983,25.99,2040
N,3.839,0.2088,3.043,2.408,13.73,1940
N,2,0.1976,3.164,2.539,30.25,2060
N,4.045,0.0975,3.079,2.779,10.37,1970
Y,2.443,0.8218,2.2,0.392,29.29,1190
Y,0.355,0.7644,2.75,0.648,5.92,1670
Y,0.299,0.6669,2.451,0.817,18.29,1400
Y,1.757,0.5052,1.725,0.853,30.58,827
N,4.795,0.0226,3.212,3.14,20.3,2100
N,5.597,0.1343,3.137,2.715,21.47,2030
N,2.504,0.2425,3.166,2.398,14.19,2060
N,1.978,0.1599,2.27,1.907,24.54,1250
N,3.9,0.1128,3.016,2.676,10.26,1910
N,3.435,0.2495,3.143,2.359,24.21,2040
Y,0.129,0.3854,1.553,0.955,6.89,707
N,3.394,0.0634,3.126,2.928,16.93,2020
N,2.573,0.1499,2.724,2.316,10.35,1640
N,2.024,0.3951,2.553,1.544,28.8,1490
Y,0.37,0.6115,2.485,0.966,26.45,1430
N,1.307,0.3277,2.406,1.618,18.18,1360
N,2.022,0.1634,2.984,2.497,13.78,1880
N,3.723,0.1928,3.108,2.509,25.1,2000
N,0.724,0.5366,2.909,1.348,14.81,1810
N,2.659,0.2285,2.993,2.309,15.25,1890
N,4.022,0.1909,3.163,2.559,26.64,2050
N,2.995,0.0939,2.911,2.637,19.46,1810
Y,0.986,0.4585,2.259,1.223,29.19,1240
N,2.439,0.0799,3.019,2.778,11.61,1920
N,3.739,0.0947,3.222,2.917,27.92,2110
N,3.304,0.0702,3.131,2.911,18.94,2020
N,2.476,0.1901,3.157,2.557,11.55,2050
N,2.107,0.2163,2.777,2.176,8.69,1690
N,2.996,0.1823,2.864,2.342,17.73,1770
N,3.253,0.0883,3.219,2.934,4.11,2110
