neo,diameter,eccentricity,semiMajorAxis,perihelionDistance,inclination,period
N,3.367,0.0575,3.116,2.937,9.57,2010
N,2.493,0.1152,3.063,2.71,13.35,1960
N,3.765,0.173,3.151,2.606,18.07,2040
N,2.475,0.1973,3.064,2.459,11.86,1960
N,4.173,0.1285,3.046,2.655,16.02,1940
N,2.695,0.151,3.196,2.713,25.35,2090
Y,0.374,0.7064,3.219,0.945,8.98,2110
Y,0.077,0.5691,1.651,0.711,5.28,775
N,4.426,0.1372,3.178,2.742,27.12,2070
N,2.839,0.0967,3.106,2.806,15.32,2000
N,3.302,0.0901,3.07,2.793,12.12,1960
N,2.368,0.111,3.203,2.848,12.17,2090
N,3.88,0.108,3.183,2.84,25.86,2070
N,3.574,0.0124,3.055,3.017,14.91,1950
N,3.078,0.2168,2.621,2.053,12.46,1550
N,2.842,0.2203,3.109,2.424,17.21,2000
N,2.426,0.1868,3.09,2.513,13.3,1980
N,2.457,0.2083,3.032,2.4,14.97,1930
N,1.957,0.1592,3.119,2.623,23.02,2010
N,2.645,0.2153,3.026,2.374,10.41,1920
N,2.499,0.2123,3.167,2.494,15.84,2060
N,2.367,0.1659,3.046,2.541,25.37,1940
N,3.828,0.0868,2.976,2.718,24.63,1880
N,2.464,0.1888,3.137,2.545,9.4,2030
N,3.403,0.0691,3.091,2.877,27.3,1980
N,2.862,0.2546,2.997,2.234,14.07,1900
N,2.708,0.1885,3.114,2.527,15.43,2010
N,2.777,0.0998,3.218,2.896,9.26,2110
N,2.408,0.2197,3.171,2.475,14.26,2060
N,1.673,0.3046,3.069,2.134,16.78,1960
N,3.259,0.144,3.192,2.732,27.45,2080
N,2.867,0.2575,3.151,2.34,26.87,2040
N,1.915,0.0594,2.525,2.375,14.36,1470
N,2.791,0.164,3.107,2.598,14.45,2000
N,4.206,0.1476,3.197,2.725,27.67,2090
N,3.233,0.196,3.157,2.538,27.25,2050
N,2.463,0.2055,3.084,2.45,27.21,1980
N,1.685,0.3205,3.123,2.122,26.01,2020
N,3.044,0.2391,3.056,2.326,16.59,1950
N,3.586,0.23,3.174,2.444,25.25,2060
N,3.693,0.2157,3.419,2.682,19.71,2310
N,6.285,0.2125,3.209,2.527,24.68,2100
N,4.126,0.0414,2.95,2.828,9.88,1850
N,2.735,0.1302,3.136,2.727,15.54,2030
N,3.065,0.0768,3.082,2.845,14.8,1980
N,3.083,0.1392,3.197,2.752,8.82,2090
N,4.498,0.1742,3.119,2.575,10.91,2010
N,4.838,0.0662,3.424,3.197,10.86,2310
N,3.563,0.0385,3.055,2.938,18.43,1950
N,4.304,0.1024,2.99,2.683,13.94,1890
N,2.543,0.0702,3.16,2.938,10.32,2050
N,2.562,0.1221,3.078,2.702,9.8,1970
N,2.849,0.1367,3.14,2.711,13.9,2030
N,2.631,0.2059,3.225,2.561,24.98,2120
N,2.42,0.1648,2.66,2.221,8.19,1580
N,3.918,0.0695,3.041,2.83,17.34,1940
Y,0.432,0.5435,2.26,1.032,21.42,1240
N,4.45,0.0952,3.147,2.848,12.66,2040
Y,1.008,0.4854,2.156,1.11,40.86,1160
Y,0.196,0.1827,0.8707,0.712,8.37,297
Y,0.285,0.7541,2.89,0.711,1.98,1790
Y,0.199,0.5201,2.059,0.988,4.44,1080
Y,1.214,0.6655,2.86,0.957,31.16,1770
Y,0.08,0.5192,1.808,0.869,2.99,888
N,2.491,0.1905,3.137,2.539,9.68,2030
N,2.9,0.2748,3.124,2.265,16.28,2020
N,2.545,0.2222,3.174,2.469,28.29,2070
N,1.95,0.2054,3.141,2.496,9.37,2030
N,2.814,0.1907,3.135,2.537,10.51,2030
N,2.229,0.1876,3.046,2.475,17.11,1940
N,5.07,0.1234,3.216,2.819,19.28,2110
N,3.275,0.0653,3.032,2.834,16.78,1930
N,3.214,0.0539,2.857,2.703,24.91,1760
N,3.347,0.0446,3.161,3.02,10.38,2050
N,2.975,0.1338,3.037,2.63,12.45,1930
Y,0.208,0.4527,1.703,0.932,12.08,812
N,2.075,0.1847,3.164,2.58,10.67,2060
N,2.77,0.1729,3.114,2.576,10.98,2010
N,2.17,0.125,3.14,2.748,13.52,2030
N,3.766,0.2279,3.166,2.445,29.46,2060
N,3.115,0.1773,3.174,2.611,26.35,2070
N,2.879,0.2536,3.12,2.329,27.04,2010
N,2.641,0.0334,2.992,2.892,15.05,1890
N,2.447,0.0949,3.06,2.77,10.29,1960
N,4.29,0.1019,3.058,2.746,8.75,1950
N,3.053,0.0349,3.16,3.05,13.46,2050
N,3.553,0.1119,3.022,2.684,8.33,1920
N,2.847,0.1018,2.974,2.671,7.96,1870
N,3.696,0.0266,3.187,3.103,11.19,2080
N,2.074,0.2225,3.148,2.448,4.37,2040
N,2.544,0.2521,3.084,2.307,13.29,1980
N,3.738,0.4468,3.149,1.742,23.48,2040
Y,0.459,0.6399,3.042,1.096,27.89,1940
Y,0.07,0.4607,1.769,0.954,1.23,859
N,3.866,0.1556,3.181,2.686,27.74,2070
N,2.9,0.1546,3.203,2.707,26.32,2090
N,3.367,0.0609,2.899,2.722,10.47,1800
N,3.711,0.0017,3.218,3.212,10.3,2110
N,2.041,0.2271,3.159,2.441,16.18,2050
N,3.146,0.1906,3.161,2.559,27.69,2050
N,4.333,0.0994,3.088,2.781,23.49,1980
N,2.956,0.2047,3.102,2.467,28.95,2000
N,3.181,0.2144,3.154,2.478,10.32,2050
N,2.994,0.1665,3.083,2.57,12.04,1980
N,2.38,0.1594,3.108,2.613,13.37,2000
N,4.226,0.143,3.165,2.712,7.03,2060
N,2.975,0.2382,3.115,2.373,15.87,2010
N,3.238,0.1457,3.226,2.756,18.52,2120
N,5.181,0.1473,3.206,2.734,19.41,2100
N,3.676,0.0958,3.157,2.855,15.2,2050
N,2.407,0.2037,3.141,2.501,17.53,2030
Y,0.123,0.6222,0.7297,0.276,21.53,228
N,3.803,0.1904,3.142,2.544,15.64,2030
N,4.206,0.0656,3.186,2.977,10.64,2080
N,2.398,0.3738,3.183,1.993,29.06,2070
N,2.962,0.1174,3.199,2.823,25.92,2090
N,2.175,0.2088,3.15,2.492,8.77,2040
Y,0.606,0.7062,2.165,0.636,28.41,1160
N,2.431,0.3815,3.068,1.898,12.78,1960
N,2.938,0.1885,3.163,2.567,21.68,2050
N,4.223,0.1807,3.041,2.492,18.42,1940
N,3.231,0.0811,3.144,2.889,11.73,2040
N,3.409,0.0622,3.055,2.864,11.25,1950
N,2.911,0.1867,3.094,2.516,11.57,1990
N,2.482,0.2734,3.167,2.301,14.02,2060
N,4.613,0.1431,2.91,2.493,16.55,1810
N,3.905,0.1795,3.179,2.609,26.8,2070
N,4.973,0.057,3.031,2.859,14.31,1930
N,3.619,0.0944,3.174,2.874,16.06,2070
N,3.507,0.1118,3.182,2.826,19.02,2070
N,2.582,0.2031,3.125,2.49,15.7,2020
N,3.474,0.1232,3.081,2.702,15.55,1980
N,4.02,0.1259,3.111,2.719,19.91,2000
Y,0.094,0.7295,3.972,1.074,12.63,2890
N,1.327,0.3627,3.33,2.122,12.86,2220
N,4.909,0.098,3.14,2.832,20.18,2030
N,3.268,0.1892,3.098,2.512,28.19,1990
N,2.852,0.0755,3.106,2.871,21.71,2000
N,4.102,0.1538,3.188,2.698,14.94,2080
N,2.598,0.1773,3.13,2.575,2.9,2020
N,2.613,0.134,3.126,2.707,12.92,2020
N,2.305,0.2585,3.043,2.256,11.28,1940
N,2.032,0.2071,3.16,2.505,15.52,2050
N,2.203,0.1826,3.087,2.524,16.24,1980
N,2.321,0.1816,3.186,2.608,18.05,2080
N,2.536,0.1839,3.204,2.614,27.89,2090
N,2.994,0.1554,3.116,2.632,13.78,2010
N,2.548,0.2726,3.2,2.327,25.2,2090
N,3.12,0.163,3.117,2.609,10.84,2010
N,2.595,0.2135,3.184,2.505,15.54,2080
N,3.846,0.1744,3.05,2.519,15.23,1950
N,3.384,0.1665,3.14,2.617,9.8,2030
N,5.17,0.0894,3.049,2.776,16.15,1940
Y,0.228,0.4711,0.7142,0.378,23.85,220
N,1.606,0.2453,2.188,1.651,31.93,1180
Y,0.034,0.5186,1.564,0.753,1.41,714
N,2.527,0.1176,3.057,2.698,3.92,1950
N,2.695,0.2283,3.103,2.395,22.84,2000
N,3.939,0.2527,3.152,2.356,10.92,2040
N,2.406,0.145,2.961,2.532,14.28,1860
N,3.025,0.26,3.177,2.351,28.27,2070
N,2.964,0.2637,3.136,2.309,25.09,2030
N,2.797,0.0544,3.239,3.062,8.81,2130
Y,0.066,0.6394,2.246,0.81,7.5,1230
Y,0.106,0.7147,2.457,0.701,5.14,1410
N,3.012,0.2669,3.158,2.315,25.95,2050
N,3.413,0.3283,2.742,1.842,25.1,1660
N,5.587,0.0685,3.232,3.01,19.47,2120
N,2.853,0.1999,3.156,2.525,8.52,2050
Y,0.268,0.5952,2.436,0.986,6.82,1390
N,3.904,0.1407,3.175,2.728,28.05,2070
N,2.552,0.0643,2.464,2.305,16.65,1410
N,2.7,0.2803,3.165,2.278,15.25,2060
N,4.294,0.0083,3.086,3.061,11.31,1980
N,3.437,0.1775,3.162,2.601,30.15,2050
N,2.415,0.2447,3.162,2.389,15.52,2050
N,5.578,0.2198,3.115,2.43,15.28,2010
N,5.262,0.1316,3.098,2.69,27.65,1990
N,2.703,0.0546,3.163,2.99,13.33,2050
N,3.352,0.1071,3.047,2.721,15.56,1940
N,3.919,0.1932,3.147,2.539,16.48,2040
N,4.11,0.0848,3.221,2.948,13.01,2110
N,1.877,0.1301,3.14,2.732,27.16,2030
N,3.12,0.0396,3.071,2.949,15.7,1970
N,3.193,0.0958,3.087,2.792,18.44,1980
N,3.762,0.093,3.105,2.816,27.61,2000
N,2.481,0.1453,3.159,2.7,27.59,2050
N,2.035,0.2157,3.121,2.448,10.62,2010
N,3.692,0.1176,3.155,2.784,27.87,2050
N,2.727,0.2859,3.172,2.265,25.79,2060
N,2.227,0.1547,2.579,2.18,9.8,1510
N,2.69,0.3834,3.168,1.953,24.56,2060
N,3.65,0.0522,3.053,2.894,13.93,1950
N,2.486,0.1962,3.149,2.531,9.87,2040
N,6.201,0.1517,2.989,2.536,9.36,1890
N,3.27,0.1652,3.134,2.616,14.05,2030
N,2.06,0.1786,3.068,2.52,2.73,1960
N,2.597,0.1661,3.043,2.538,16.58,1940
N,3.374,0.2298,3.172,2.443,27.42,2060
Y,0.231,0.6246,2.434,0.914,10.04,1390
N,5.138,0.0718,3.078,2.857,8.87,1970
N,3.27,0.1691,3.098,2.574,8.89,1990
N,2.298,0.1786,3.163,2.598,27.61,2050
N,3.741,0.1881,3.066,2.489,9.07,1960
N,3.206,0.1777,3.173,2.609,9.82,2060
N,3.229,0.17,3.183,2.642,27.74,2070
N,3.436,0.0126,3.044,3.006,8.55,1940
N,2.566,0.1727,3.073,2.542,8.15,1970
N,2.911,0.0916,3.075,2.794,22.96,1970
N,3.05,0.1608,3.179,2.668,24.4,2070
N,2.131,0.1852,3.197,2.605,26.72,2090
N,3.901,0.0916,3.082,2.799,6.1,1980
N,4.256,0.1736,3.176,2.624,27.59,2070
N,2.962,0.2404,3.136,2.382,11.51,2030
N,2.855,0.1706,3.103,2.574,18.08,2000
N,3.127,0.1737,3.074,2.54,13.26,1970
N,3.105,0.1886,3.191,2.589,14.76,2080
N,2.758,0.2008,3.161,2.526,10.28,2050
N,2.532,0.2034,3.138,2.5,16.02,2030
N,2.401,0.1912,3.149,2.547,10.41,2040
N,2.855,0.1155,3.16,2.795,8.91,2050
N,2.125,0.212,3.045,2.4,6.63,1940
N,2.442,0.2102,3.118,2.463,27.03,2010
N,3.45,0.1006,3.046,2.74,17.13,1940
N,3.63,0.0682,3.211,2.992,11.53,2100
N,3.204,0.1951,3.185,2.564,13.57,2080
N,3.241,0.0685,3.139,2.924,16.08,2030
N,3.85,0.1027,3.026,2.715,11.49,1920
N,2.731,0.0492,3.19,3.033,11.28,2080
N,3.257,0.0621,3.074,2.883,4.51,1970
N,1.929,0.1568,3.096,2.611,27.75,1990
N,2.892,0.1754,3.095,2.552,16.58,1990
Y,0.205,0.6886,2.626,0.818,22.44,1550
N,2.935,0.1054,2.933,2.624,2.05,1840
N,3.403,0.2291,3.106,2.394,25.76,2000
N,2.996,0.0488,3.079,2.929,27.62,1970
N,2.938,0.1514,3.11,2.639,8.85,2000
Y,0.202,0.6974,1.276,0.386,29.84,526
Y,0.183,0.6189,2.527,0.963,4.21,1470
Y,0.186,0.2146,1.258,0.988,40.95,516
N,2.41,0.4489,3.096,1.706,23.5,1990
Y,0.366,0.4393,1.484,0.832,12.08,660
N,2.07,0.1881,3.151,2.558,16.59,2040
N,5.261,0.071,3.188,2.962,10.49,2080
N,2.804,0.2094,3.186,2.519,25.78,2080
N,4.972,0.1448,3.157,2.7,16.48,2050
N,2.141,0.0754,3.156,2.918,6.57,2050
N,3.42,0.1935,3.18,2.565,12.76,2070
N,2.302,0.0951,3.142,2.844,6.07,2030
N,3.418,0.088,3.089,2.817,10.36,1980
N,4.35,0.0352,3.135,3.025,10.62,2030
N,2.847,0.2765,3.177,2.299,25.51,2070
N,1.419,0.1705,2.221,1.842,3.75,1210
N,2.787,0.1887,3.181,2.581,16.72,2070
N,2.673,0.1571,2.893,2.439,4.94,1800
N,2.292,0.3573,2.746,1.765,25.44,1660
N,2.44,0.1734,3.161,2.613,18.93,2050
N,2.349,0.1922,3.16,2.552,20.74,2050
N,1.929,0.2588,3.087,2.288,10.47,1980
N,2.756,0.202,3.076,2.455,12.33,1970
N,2.546,0.1817,3.091,2.53,13.66,1990
N,3.082,0.2453,3.164,2.388,14.04,2060
N,2.157,0.2198,3.063,2.39,1.83,1960
N,2.85,0.0408,2.772,2.658,4.03,1690
N,3.576,0.2043,3.056,2.432,16.48,1950
N,2.467,0.1562,3.141,2.65,8.04,2030
N,4.332,0.2302,3.139,2.417,11.67,2030
N,3.361,0.1236,3.044,2.668,17.12,1940
N,2.735,0.1754,3.194,2.634,20.93,2080
N,5.014,0.1259,3.182,2.781,28.34,2070
N,3.211,0.1779,3.071,2.525,14.75,1970
N,2.859,0.0784,3.066,2.825,8.71,1960
N,2.983,0.1177,3.209,2.831,16.36,2100
N,4.491,0.1844,2.937,2.395,27.95,1840
N,4.595,0.0726,3.174,2.943,23.2,2060
N,4.086,0.0836,3.226,2.956,16.43,2120
N,3.269,0.2107,3.167,2.5,13.48,2060
N,2.604,0.1662,2.945,2.456,10.95,1850
N,2.132,0.2293,2.92,2.251,16.13,1820
N,3.827,0.0751,3.206,2.965,15.74,2100
N,2.916,0.1642,2.993,2.502,8.77,1890
N,3.45,0.2158,3.151,2.471,11.34,2040
N,1.746,0.2086,3.114,2.464,8.09,2010
N,3.221,0.1818,3.064,2.507,6,1960
N,3.439,0.0513,2.767,2.625,12.37,1680
N,3.698,0.033,3.095,2.993,17.24,1990
N,3.164,0.0623,3.171,2.973,10.07,2060
N,3.15,0.1626,3.032,2.539,20.6,1930
Y,1.317,0.7196,2.458,0.689,20.77,1410
N,2.9,0.136,3.106,2.684,29.07,2000
N,3.905,0.0725,2.979,2.763,21.28,1880
N,3.958,0.2295,2.748,2.118,28.05,1660
Y,0.422,0.6666,2.92,0.974,16.46,1820
Y,1.177,0.6088,3.252,1.272,15.24,2140
N,2.43,0.0949,3.114,2.818,4.17,2010
N,2.516,0.1789,3.112,2.556,14.88,2010
N,2.165,0.1659,3.132,2.613,29.85,2020
N,2.317,0.2006,3.131,2.503,14.66,2020
N,2.998,0.1448,3.175,2.715,20.58,2070
N,2.5,0.2548,3.158,2.353,26,2050
N,3.221,0.1675,3.172,2.641,26.07,2060
Y,0.371,0.555,2.15,0.957,19.35,1150
N,2.424,0.3732,3.104,1.945,18.36,2000
N,2.83,0.1558,2.289,1.933,23.39,1270
N,2.169,0.1847,3.167,2.582,18.77,2060
N,3.24,0.1244,3.202,2.804,2.32,2090
N,2.358,0.3564,3.089,1.988,25.49,1980
N,3.319,0.1752,3.174,2.618,29.88,2070
N,4.477,0.2651,3.197,2.349,26.6,2090
Y,0.192,0.2823,0.8072,0.579,6.8,265
N,2.036,0.2961,3.146,2.215,27.47,2040
N,2.752,0.3072,3.171,2.197,25.04,2060
N,3.048,0.069,3.022,2.814,12.08,1920
N,3.479,0.0995,3.216,2.896,19.42,2110
N,3.41,0.179,3.084,2.532,3.72,1980
Y,0.661,0.7868,2.424,0.517,21,1380
N,2.648,0.3744,3.165,1.98,27.22,2060
N,3.716,0.0251,3.21,3.129,11.98,2100
N,2.898,0.1805,3.048,2.498,27.16,1940
Y,0.031,0.5792,2.082,0.876,0.92,1100
Y,0.174,0.5334,1.828,0.853,3.88,903
N,2.848,0.1781,3.095,2.543,29.51,1990
N,2.7,0.2563,3.168,2.356,24.77,2060
N,2.784,0.1085,3.209,2.861,28.28,2100
N,2.053,0.2362,3.198,2.443,17.12,2090
Y,0.91,0.6497,2.26,0.792,40.21,1240
N,2.524,0.1954,3.096,2.491,17.45,1990
Y,0.16,0.3052,1.139,0.792,21.21,444
Y,0.328,0.2803,0.9017,0.649,18.14,313
N,3.029,0.2096,3.165,2.501,27.93,2060
N,1.794,0.338,2.763,1.829,12.7,1680
Y,0.517,0.6714,2.315,0.761,14.86,1290
N,2.839,0.1692,3.127,2.598,28.16,2020
Y,0.06,0.1461,1.012,0.864,32.18,372
Y,0.204,0.6329,2.799,1.027,32.87,1710
N,1.912,0.1769,3.169,2.608,10.18,2060
Y,0.43,0.6458,2.163,0.766,12.94,1160
Y,0.845,0.7479,2.565,0.647,12.79,1500
Y,0.085,0.6109,1.805,0.702,4.19,885
Y,0.681,0.7577,2.136,0.518,15.33,1140
N,2.288,0.3739,2.761,1.729,14.59,1680
N,3.541,0.175,3.173,2.618,16.67,2060
N,1.604,0.2464,3.044,2.294,17.25,1940
N,2.782,0.1387,3.014,2.596,14.51,1910
N,3.988,0.1668,3.078,2.565,5.22,1970
N,3.24,0.1404,3.183,2.736,27.18,2070
N,2.134,0.0756,2.966,2.741,10.34,1870
N,2.306,0.1545,3.173,2.683,26.46,2060
N,2.754,0.2315,3.195,2.455,26.52,2090
Y,0.237,0.8634,1.786,0.244,15.19,872
N,4.39,0.2195,3.17,2.474,27.56,2060
N,2.37,0.311,2.57,1.771,18.4,1510
Y,0.864,0.6914,3.222,0.994,5.58,2110
N,1.849,0.588,3.187,1.313,6.49,2080
N,2.437,0.3879,3.134,1.918,26.55,2030
N,2.141,0.2558,3.225,2.4,13.36,2120
N,2.544,0.2435,3.217,2.434,13.65,2110
N,2.559,0.2063,2.888,2.292,18.09,1790
N,2.857,0.0983,3.149,2.84,11.65,2040
N,2.229,0.1373,3.209,2.769,4.52,2100
N,3.506,0.3158,3.159,2.161,23.67,2050
N,1.077,0.431,3.155,1.795,28.75,2050
N,3.793,0.1607,3.169,2.66,27.09,2060
N,2.279,0.3384,2.716,1.797,14.19,1630
N,2.696,0.075,2.549,2.358,11.58,1490
N,2.917,0.2223,3.142,2.444,17.96,2030
N,3.846,0.2139,3.196,2.512,14.53,2090
N,3.498,0.2614,3.116,2.302,24.11,2010
N,3.228,0.1475,3.161,2.695,16.13,2050
N,3.325,0.0889,2.917,2.657,16.46,1820
N,2.474,0.2158,3.001,2.353,18.17,1900
N,2.314,0.1724,3.151,2.608,27.2,2040
N,3.404,0.2537,3.184,2.376,24.19,2070
N,3.707,0.2725,3.127,2.274,14.78,2020
N,3.732,0.0737,3.174,2.94,18.14,2070
N,2.467,0.1485,3.175,2.704,24.26,2070
N,3.191,0.099,3.221,2.902,4.52,2110
N,2.5,0.1537,2.986,2.527,12.74,1880
N,1.773,0.3701,2.782,1.752,24.91,1690
N,1.518,0.2727,2.281,1.659,23.09,1260
N,3.541,0.2737,3.176,2.307,28.96,2070
N,2.082,0.3133,2.611,1.793,4.17,1540
Y,0.468,0.4611,1.696,0.914,22.34,807
Y,0.647,0.77,2.855,0.657,10.41,1760
N,2.862,0.1867,3.254,2.647,6.06,2140
Y,0.479,0.5619,2.169,0.95,16.85,1170
Y,1.349,0.6769,2.841,0.918,16.33,1750
N,3.743,0.2237,3.201,2.485,25.82,2090
N,3.256,0.1704,3.232,2.681,25.14,2120
Y,0.196,0.6174,2.462,0.942,3.58,1410
N,3.271,0.2881,3.049,2.171,14.46,1940
Y,0.31,0.5799,2.701,1.135,13.43,1620
N,3.614,0.2146,2.807,2.205,12.01,1720
N,2.717,0.27,3.112,2.272,8.28,2000
N,4.679,0.1101,3.107,2.765,28.9,2000
N,4.98,0.096,3.174,2.869,17.93,2060
N,2.101,0.2441,3.128,2.365,24.68,2020
N,2.538,0.2617,2.943,2.173,14.07,1840
N,2.215,0.1752,3.162,2.608,27.18,2050
Y,0.661,0.9048,2.231,0.212,23.32,1220
N,2.108,0.1809,2.42,1.982,14.11,1370
N,4.202,0.1671,3.198,2.663,17.6,2090
Y,1.862,0.7219,2.778,0.772,19.21,1690
N,3.125,0.1964,3.201,2.572,9.16,2090
N,2.259,0.3595,3.053,1.955,11.1,1950
N,3.745,0.2524,3.153,2.357,21.02,2040
N,5.171,0.186,3.17,2.58,16.02,2060
N,2.318,0.1015,2.836,2.549,14.12,1740
Y,0.25,0.4028,1.506,0.899,16.63,675
Y,0.066,0.3849,1.613,0.992,4.84,748
N,1.846,0.2595,3.149,2.332,25.43,2040
N,3.521,0.2411,3.132,2.377,20.8,2020
N,2.947,0.3055,3.092,2.147,10.1,1990
N,2.525,0.1677,3.024,2.517,9.07,1920
N,2.617,0.3379,3.168,2.098,23.82,2060
N,3.702,0.0631,2.65,2.483,11.46,1580
Y,0.081,0.7616,2.434,0.58,0.96,1390
N,2.044,0.4468,3.138,1.736,24.65,2030
N,2.797,0.2545,3.132,2.335,14.66,2020
Y,1.246,0.7101,2.812,0.815,6.32,1720
Y,2.73,0.6962,2.13,0.647,36.4,1140
Y,0.278,0.8805,2.471,0.295,24.9,1420
N,1.69,0.2673,2.278,1.669,22.56,1260
N,3.11,0.2252,3.108,2.408,12.5,2000
N,4.46,0.1898,3.188,2.583,14.22,2080
N,3.503,0.3942,3.195,1.936,22.87,2090
N,3.236,0.1955,3.174,2.554,14.37,2070
N,3.15,0.14,3.026,2.603,11.72,1920
N,3.165,0.1221,3.224,2.83,3.29,2110
N,4.403,0.2476,3.166,2.382,27.55,2060
N,2.283,0.1131,2.606,2.312,11.34,1540
Y,1.391,0.4662,2.177,1.162,29.21,1170
Y,0.82,0.5773,2.755,1.164,8.97,1670
N,3.877,0.1532,3.13,2.65,28.31,2020
N,2.478,0.2205,3.184,2.482,14.61,2070
N,3.28,0.1804,3.177,2.604,25.94,2070
N,3.362,0.1101,3.024,2.691,1.87,1920
Y,0.018,0.4988,1.799,0.902,9.25,881
Y,0.063,0.5941,1.833,0.744,11.27,907
Y,0.188,0.583,2.408,1.004,17.72,1360
Y,0.05,0.5813,0.9471,0.397,5.27,337
N,2.234,0.1517,3.068,2.603,13.01,1960
N,1.333,0.4144,3.107,1.82,20.67,2000
N,1.882,0.2519,2.338,1.749,25.68,1310
N,4.364,0.2242,3.139,2.436,10.22,2030
N,2.297,0.2294,3.144,2.423,8.72,2040
N,3.482,0.1494,2.626,2.233,11.67,1550
N,2.017,0.2373,3.14,2.395,9.38,2030
N,3.324,0.0287,3.193,3.101,7.55,2080
N,3.09,0.2206,3.182,2.48,16.06,2070
Y,0.008,0.1309,1.119,0.973,2.35,432
Y,0.281,0.5418,0.8996,0.412,30.07,312
N,2.36,0.2065,3.188,2.53,26.16,2080
N,2.799,0.1865,3.172,2.58,13.69,2060
N,3.727,0.1312,3.201,2.781,19.25,2090
N,2.893,0.3477,3.149,2.054,26.87,2040
N,3.298,0.1715,3.204,2.655,17.87,2090
N,2.785,0.1724,3.151,2.608,16.16,2040
N,2.899,0.2335,3.132,2.4,8.44,2020
N,3.009,0.2382,3.195,2.434,25.52,2090
N,3.305,0.319,2.575,1.754,27.28,1510
N,1.758,0.4279,3.127,1.789,22.14,2020
N,3.162,0.2342,3.149,2.412,16.35,2040
N,3.039,0.0903,3.11,2.829,14.48,2000
N,2.621,0.1308,3.09,2.686,12.55,1980
N,2.373,0.1428,3.062,2.625,8.3,1960
N,3.935,0.1645,3.205,2.678,23.94,2100
Y,0.143,0.7928,2.498,0.517,3.82,1440
N,3.572,0.1129,2.574,2.283,27.37,1510
N,3.195,0.4169,3.161,1.843,25.58,2050
Y,0.049,0.6505,2.821,0.986,2.14,1730
N,2.401,0.1751,3.193,2.634,27.1,2080
N,4.301,0.0895,3.086,2.809,17.13,1980
N,3.76,0.1913,2.576,2.083,30.03,1510
N,2.735,0.1597,3.134,2.634,20.53,2030
N,1.591,0.1759,2.339,1.928,9.37,1310
N,2.432,0.1874,3.146,2.556,10.55,2040
N,3.945,0.0597,3.173,2.983,15.14,2060
N,2.841,0.1134,2.698,2.392,3.85,1620
N,1.858,0.0626,2.604,2.441,5.26,1540
N,2.099,0.1477,2.646,2.256,18.18,1570
Y,0.128,0.5298,2.097,0.986,4.71,1110
N,3.042,0.4122,3.181,1.87,25.49,2070
N,2.2,0.188,3.08,2.501,2.51,1970
Y,0.525,0.7745,2.723,0.614,26.97,1640
N,2.521,0.1337,2.604,2.256,11.3,1530
N,2.653,0.1111,3.112,2.766,6.76,2010
N,2.526,0.3184,2.538,1.73,16.89,1480
N,2.112,0.349,2.775,1.807,17.82,1690
N,2.157,0.3706,2.895,1.822,11.25,1800
Y,0.194,0.2485,1.341,1.007,7.74,567
Y,0.917,0.525,2.629,1.249,27.02,1560
N,2.9,0.2295,3.08,2.373,10.02,1970
N,4.158,0.1342,3.097,2.681,25.58,1990
N,5.664,0.1063,3.097,2.767,27.92,1990
Y,1.082,0.6647,2.85,0.956,15.17,1760
N,3.468,0.1768,3.228,2.657,26.54,2120
N,3.718,0.3369,3.147,2.087,25.66,2040
N,2.286,0.2101,3.068,2.423,15.5,1960
N,3.329,0.2682,3.219,2.356,25.63,2110
N,2.594,0.3085,3.09,2.137,12.47,1980
N,3.092,0.2503,3.154,2.364,23.37,2050
Y,0.144,0.6408,2.74,0.984,4.84,1660
N,2.864,0.072,2.975,2.761,10.31,1870
N,4.093,0.0786,3.183,2.933,15.63,2070
N,2.75,0.1133,3.075,2.727,20.93,1970
N,5.888,0.0972,2.926,2.642,18.24,1830
N,1.765,0.3416,2.714,1.787,13.55,1630
N,3.499,0.2579,3.083,2.288,22.16,1980
N,2.028,0.1801,2.317,1.9,11.22,1290
Y,0.065,0.8339,1.946,0.323,17.74,992
N,4.856,0.1887,2.864,2.324,15.12,1770
N,3.985,0.2822,3.131,2.247,27.14,2020
Y,0.734,0.5709,2.793,1.198,28.14,1700
N,3.296,0.2224,3.158,2.456,9.45,2050
N,1.553,0.1828,2.323,1.899,5.94,1290
N,1.366,0.1678,2.362,1.966,4.25,1330
N,2.461,0.136,2.603,2.249,10.82,1530
N,5.438,0.0973,3.125,2.821,12.13,2020
N,2.729,0.1511,2.748,2.333,13.65,1660
N,3.377,0.0978,3.224,2.908,13.43,2110
N,5.007,0.0241,3.019,2.946,11.66,1920
N,1.838,0.1569,2.278,1.921,24.19,1260
N,5.143,0.0523,3.153,2.988,24.42,2040
N,2.412,0.3143,3.064,2.101,14.22,1960
N,1.362,0.1646,2.351,1.964,5.87,1320
N,1.636,0.1795,2.336,1.916,5.62,1300
N,1.6,0.107,2.419,2.16,4.52,1370
N,8.304,0.1255,5.239,4.582,23.68,4380
N,1.582,0.2098,2.295,1.813,6.41,1270
N,1.352,0.1765,2.297,1.892,4.66,1270
N,2.502,0.1904,2.624,2.124,11.24,1550
N,4.492,0.0372,3.148,3.031,21.63,2040
N,4.449,0.1274,3.111,2.714,8.57,2000
N,4.384,0.1639,3.132,2.619,11.27,2020
N,4.263,0.1326,3.205,2.78,17.2,2100
